Epoch 225 | WER 27.31285808 | Loss 7.35001564
Epoch 226 | WER 26.92777308 | Loss 7.42912722
Epoch 227 | WER 26.03738142 | Loss 7.37027979
Epoch 228 | WER 27.42932281 | Loss 7.33404732
Epoch 229 | WER 26.45815723 | Loss 7.30461740
Epoch 230 | WER 25.97914906 | Loss 7.27683449
Epoch 231 | WER 26.19892928 | Loss 7.13959074
Epoch 232 | WER 26.70611440 | Loss 7.25034952
Epoch 233 | WER 26.11439842 | Loss 7.39296436
Epoch 234 | WER 26.45627876 | Loss 7.35632801
Epoch 235 | WER 25.90776745 | Loss 7.16948938
Epoch 236 | WER 26.30224476 | Loss 6.99266291
Epoch 237 | WER 27.23020569 | Loss 7.10182667
Epoch 238 | WER 26.15572462 | Loss 7.33288717
Epoch 239 | WER 25.98666291 | Loss 7.21554613
Epoch 240 | WER 26.18953696 | Loss 7.05270529
Epoch 241 | WER 26.67418052 | Loss 8.16830635
Epoch 242 | WER 26.50887574 | Loss 7.31019783
Epoch 243 | WER 26.96909928 | Loss 7.02439499
Epoch 244 | WER 26.09749225 | Loss 7.02680397
Epoch 245 | WER 26.01859679 | Loss 6.93173933
Epoch 246 | WER 28.26899596 | Loss 7.04233122
Epoch 247 | WER 26.63097586 | Loss 7.27125788
Epoch 248 | WER 27.13252559 | Loss 7.01407003
Epoch 249 | WER 26.41495257 | Loss 7.01648426
Epoch 250 | WER 26.62158354 | Loss 7.10289717
Epoch 251 | WER 26.68169437 | Loss 7.07980251
Epoch 252 | WER 27.13064713 | Loss 7.09764004
Epoch 253 | WER 26.80942989 | Loss 6.93075991
Epoch 254 | WER 26.98600545 | Loss 7.00208044
Epoch 255 | WER 26.90523152 | Loss 6.97394371
Epoch 256 | WER 26.73241289 | Loss 6.95369911
Epoch 257 | WER 26.39804640 | Loss 6.84275579
Epoch 258 | WER 26.70611440 | Loss 6.79322672
Epoch 259 | WER 26.42810181 | Loss 6.74139690
Epoch 260 | WER 26.75871137 | Loss 6.74249792
Epoch 261 | WER 26.77749601 | Loss 6.72388983
Epoch 262 | WER 26.60467737 | Loss 6.74530077
Epoch 263 | WER 26.82070067 | Loss 6.89830542
Epoch 264 | WER 26.07870762 | Loss 6.58086109
Epoch 265 | WER 26.85075608 | Loss 6.78699636
Epoch 266 | WER 26.44125106 | Loss 6.69674063
Epoch 267 | WER 27.04799474 | Loss 7.18958998
Epoch 268 | WER 9.03863802 | Loss 11.89445782
Epoch 269 | WER 8.78205008 | Loss 10.61344910
Epoch 270 | WER 10.10432079 | Loss 10.32756042
Epoch 271 | WER 8.84760175 | Loss 10.00683975
Epoch 272 | WER 9.48064353 | Loss 9.62536716
Epoch 273 | WER 10.72987096 | Loss 10.21997738
Epoch 274 | WER 9.38137958 | Loss 9.70069790
Epoch 275 | WER 9.93763227 | Loss 9.39107513
Epoch 276 | WER 9.89642837 | Loss 9.25786972
Epoch 277 | WER 9.54619519 | Loss 9.05642414
Epoch 278 | WER 9.75596052 | Loss 8.90809250
Epoch 279 | WER 10.18860150 | Loss 8.85214710
Epoch 280 | WER 10.62311539 | Loss 8.87420273
Epoch 281 | WER 10.92839885 | Loss 8.83967781
Epoch 282 | WER 11.61388197 | Loss 8.87218952
Epoch 283 | WER 11.34980241 | Loss 8.64106750
Epoch 284 | WER 11.71501882 | Loss 8.50211716
Epoch 285 | WER 12.81066807 | Loss 8.47618484
Epoch 286 | WER 11.82177439 | Loss 8.57084656
Epoch 287 | WER 14.46631581 | Loss 8.34938335
Epoch 288 | WER 11.79180791 | Loss 8.55530643
Epoch 289 | WER 12.46230779 | Loss 8.34107208
Epoch 290 | WER 11.87608863 | Loss 8.09759426
Epoch 291 | WER 12.49040136 | Loss 8.23614979
Epoch 292 | WER 13.05601858 | Loss 8.17021751
Epoch 293 | WER 14.89708389 | Loss 8.16099739
Epoch 294 | WER 12.98672111 | Loss 8.27554417
Epoch 295 | WER 12.34993351 | Loss 8.02032852
Epoch 296 | WER 13.12157024 | Loss 8.03726387
Epoch 297 | WER 12.56719046 | Loss 7.70627928
Epoch 298 | WER 13.49802409 | Loss 7.86480236
Epoch 299 | WER 12.78819321 | Loss 7.85296965
Epoch 300 | WER 13.73401008 | Loss 7.85300922
Epoch 301 | WER 13.16651996 | Loss 7.88736153
Epoch 302 | WER 13.06725601 | Loss 7.77870131
Epoch 303 | WER 13.31447943 | Loss 7.71150064
Epoch 304 | WER 14.75474313 | Loss 7.87204504
Epoch 305 | WER 14.32584796 | Loss 7.83375502
Epoch 306 | WER 14.19099882 | Loss 7.75982141
Epoch 307 | WER 14.30711891 | Loss 7.51194000
Epoch 308 | WER 14.17976139 | Loss 7.43029690
Epoch 309 | WER 13.98685221 | Loss 7.64538145
Epoch 310 | WER 13.99996254 | Loss 7.58978224
Epoch 311 | WER 14.35206862 | Loss 7.62115002
